               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040121,            0.040553,            0.032074,             0.49865,             0.36952,              0.3013,             0.11718,            0.042968,             0.14234,            0.057192,            0.008845,            0.008845,            0.008845
                  37,             0.04014,            0.041362,            0.031051,             0.54423,             0.35643,             0.32497,             0.11603,            0.044328,              0.1506,            0.054054,            0.008812,            0.008812,            0.008812
                  38,            0.039292,            0.041054,            0.030402,             0.62475,             0.37424,             0.37033,             0.14317,            0.042854,             0.14326,            0.046334,            0.008779,            0.008779,            0.008779
                  39,            0.038604,            0.040729,            0.030345,             0.52155,             0.49354,             0.45557,             0.18484,            0.040003,              0.1289,            0.039871,            0.008746,            0.008746,            0.008746
                  40,            0.037541,            0.040058,            0.028882,             0.58262,             0.47727,             0.45339,             0.17913,            0.040096,             0.12619,            0.041138,            0.008713,            0.008713,            0.008713
                  41,            0.039701,            0.040279,            0.027754,             0.47863,             0.48843,             0.43128,             0.17917,            0.042051,             0.13538,            0.044857,             0.00868,             0.00868,             0.00868
                  42,            0.038477,            0.039814,            0.026876,             0.51217,             0.45011,             0.42916,             0.19224,            0.040817,             0.13796,            0.043623,            0.008647,            0.008647,            0.008647
                  43,            0.038198,             0.04008,            0.026365,             0.58085,               0.438,             0.45242,             0.19951,            0.040933,             0.13933,            0.042658,            0.008614,            0.008614,            0.008614
                  44,            0.037137,             0.03962,            0.025598,             0.67718,             0.50252,             0.51879,             0.22192,            0.038541,             0.12902,            0.039509,            0.008581,            0.008581,            0.008581
                  45,             0.03743,            0.039998,              0.0256,             0.63403,             0.54333,             0.56731,             0.23729,            0.037672,             0.10493,            0.031803,            0.008548,            0.008548,            0.008548
                  46,            0.037357,             0.03991,            0.024279,             0.64344,             0.55115,              0.5435,             0.22819,            0.037135,             0.10473,            0.030936,            0.008515,            0.008515,            0.008515
                  47,            0.037631,            0.040071,            0.023956,             0.66656,             0.48167,             0.49735,             0.22833,            0.036294,             0.10378,            0.033152,            0.008482,            0.008482,            0.008482
                  48,            0.036216,            0.039795,            0.022987,             0.64907,             0.48786,             0.52319,             0.23981,            0.035954,              0.1023,            0.033924,            0.008449,            0.008449,            0.008449
                  49,            0.036873,            0.039984,            0.023469,             0.71763,             0.48096,             0.50968,             0.21957,            0.037196,             0.11068,            0.041106,            0.008416,            0.008416,            0.008416
                  50,            0.036397,            0.040017,            0.021969,             0.73947,             0.46728,             0.53494,              0.2355,            0.036476,             0.10752,            0.038973,            0.008383,            0.008383,            0.008383
                  51,            0.036601,            0.039661,            0.022265,             0.77052,             0.56653,             0.66146,             0.29066,            0.036576,             0.10028,            0.027155,             0.00835,             0.00835,             0.00835
                  52,            0.036682,            0.039418,            0.021421,             0.77072,             0.53889,             0.63864,             0.28415,            0.035193,              0.1012,            0.032041,            0.008317,            0.008317,            0.008317
                  53,            0.036032,            0.039959,            0.021164,             0.75518,             0.49296,             0.57931,             0.24917,            0.036066,             0.11049,            0.039753,            0.008284,            0.008284,            0.008284
                  54,            0.036258,            0.039718,            0.020377,             0.81179,             0.50367,             0.62184,             0.27091,            0.035643,             0.10946,            0.037386,            0.008251,            0.008251,            0.008251
                  55,            0.037166,            0.039571,             0.02037,             0.81122,             0.54507,             0.65278,             0.29312,            0.035236,             0.10457,            0.029399,            0.008218,            0.008218,            0.008218
                  56,            0.035219,            0.038767,            0.018922,             0.81074,             0.58922,             0.66043,             0.30532,            0.035108,             0.10389,            0.026989,            0.008185,            0.008185,            0.008185
                  57,            0.037573,            0.039361,            0.018709,             0.73389,             0.56656,             0.61138,             0.27966,            0.037039,             0.10344,            0.029247,            0.008152,            0.008152,            0.008152
                  58,            0.037411,            0.039521,             0.01795,             0.77525,             0.60604,             0.67444,             0.31217,              0.0353,             0.10141,            0.026893,            0.008119,            0.008119,            0.008119
                  59,            0.037615,            0.039749,            0.018519,             0.68915,             0.62281,             0.64626,             0.28338,             0.03739,             0.10956,            0.028694,            0.008086,            0.008086,            0.008086
                  60,             0.03744,            0.039457,            0.018125,             0.72743,             0.62445,             0.65699,             0.27512,             0.03624,             0.10882,            0.029228,            0.008053,            0.008053,            0.008053
                  61,            0.037281,            0.039263,            0.017256,             0.71089,              0.6382,             0.66661,             0.29098,            0.037073,             0.10192,            0.030676,             0.00802,             0.00802,             0.00802
                  62,            0.037401,            0.039879,            0.017363,             0.73673,             0.67712,             0.73473,             0.32145,            0.035998,            0.099298,            0.024098,            0.007987,            0.007987,            0.007987
                  63,            0.036545,            0.039492,            0.016524,             0.76388,             0.60636,             0.67198,             0.31951,            0.036129,            0.099858,            0.023712,            0.007954,            0.007954,            0.007954
                  64,            0.037323,            0.039949,            0.015871,             0.82517,             0.55005,             0.65425,             0.30335,            0.036072,             0.11241,            0.029383,            0.007921,            0.007921,            0.007921
                  65,            0.037957,            0.039377,            0.015802,             0.77532,             0.58768,             0.65584,             0.29149,            0.037901,             0.12835,              0.0348,            0.007888,            0.007888,            0.007888
                  66,            0.037088,            0.039349,            0.015699,             0.73842,             0.61477,             0.66313,             0.32404,            0.035502,             0.10391,            0.028837,            0.007855,            0.007855,            0.007855
                  67,            0.036858,            0.039725,            0.015508,             0.86026,             0.56895,             0.68886,              0.2977,            0.035166,             0.10624,            0.036926,            0.007822,            0.007822,            0.007822
                  68,            0.035911,            0.039414,            0.014541,             0.84363,             0.58371,             0.66432,             0.29918,            0.035244,             0.11007,            0.034304,            0.007789,            0.007789,            0.007789
                  69,            0.035905,            0.038969,            0.014179,             0.85055,             0.59166,             0.67834,             0.32947,              0.0347,              0.1043,            0.026986,            0.007756,            0.007756,            0.007756
                  70,             0.03515,            0.039309,            0.014113,              0.8335,              0.6741,             0.76396,             0.33829,            0.034326,             0.10102,            0.023271,            0.007723,            0.007723,            0.007723
                  71,            0.036208,            0.039179,            0.014134,             0.66275,             0.54352,             0.62167,             0.29779,            0.035565,            0.099586,            0.037516,             0.00769,             0.00769,             0.00769
                  72,            0.036057,            0.038659,            0.013701,             0.56724,             0.56647,             0.58731,             0.30211,            0.034395,            0.099867,            0.040479,            0.007657,            0.007657,            0.007657
                  73,            0.035718,            0.039144,            0.014283,             0.70553,             0.43043,             0.56696,             0.26474,            0.035135,             0.10418,            0.048558,            0.007624,            0.007624,            0.007624
                  74,            0.035359,            0.039123,            0.013257,             0.72429,             0.47352,             0.63656,             0.29046,             0.03429,             0.10006,            0.044463,            0.007591,            0.007591,            0.007591
                  75,            0.036121,            0.039696,            0.012824,             0.71899,             0.50147,             0.64681,             0.31924,            0.034586,            0.098511,             0.04019,            0.007558,            0.007558,            0.007558
                  76,            0.035435,            0.038609,            0.012734,             0.74991,             0.48387,             0.66377,             0.32883,            0.033834,            0.098549,            0.041337,            0.007525,            0.007525,            0.007525
                  77,            0.035272,             0.03989,            0.012752,             0.73683,             0.50314,             0.64129,             0.30511,            0.034093,            0.099404,             0.04416,            0.007492,            0.007492,            0.007492
                  78,            0.034742,            0.038979,            0.012507,             0.67265,             0.62063,             0.72823,               0.338,            0.033715,            0.098339,            0.037081,            0.007459,            0.007459,            0.007459
                  79,             0.03551,            0.040213,            0.012542,             0.70924,             0.59699,             0.73073,             0.32946,            0.034512,             0.10076,            0.037325,            0.007426,            0.007426,            0.007426
                  80,            0.034608,            0.039529,             0.01255,             0.61811,             0.55494,             0.65094,             0.30961,            0.034223,             0.10249,            0.040013,            0.007393,            0.007393,            0.007393
                  81,            0.035013,            0.039843,            0.012575,             0.79193,             0.58292,             0.72062,             0.35343,            0.034131,             0.09797,            0.027658,             0.00736,             0.00736,             0.00736
                  82,            0.034671,            0.039064,            0.012439,             0.84443,             0.59391,             0.75134,              0.3541,            0.033791,            0.099041,            0.025652,            0.007327,            0.007327,            0.007327
                  83,            0.035228,            0.040436,            0.012557,             0.90555,             0.69528,             0.83148,             0.36168,            0.034477,            0.099846,            0.020328,            0.007294,            0.007294,            0.007294
                  84,            0.035048,            0.039357,            0.012788,             0.87873,             0.69686,             0.78916,             0.36151,            0.033584,            0.098715,            0.020834,            0.007261,            0.007261,            0.007261
                  85,            0.034775,            0.039793,              0.0139,             0.78622,             0.64376,             0.72165,             0.34348,            0.035124,             0.10036,            0.025147,            0.007228,            0.007228,            0.007228
                  86,            0.035023,            0.039081,            0.013274,             0.79198,             0.67885,             0.76035,             0.36653,            0.033481,            0.097626,            0.024512,            0.007195,            0.007195,            0.007195
                  87,            0.035083,            0.040095,            0.013819,             0.69843,             0.62066,             0.63219,             0.28155,            0.035331,             0.11304,             0.03737,            0.007162,            0.007162,            0.007162
                  88,            0.035215,             0.03952,            0.013436,             0.73404,             0.62962,             0.64851,             0.32707,            0.034923,             0.11508,            0.035936,            0.007129,            0.007129,            0.007129
                  89,            0.034725,            0.039239,            0.013486,             0.70147,             0.56974,             0.61619,             0.29792,            0.035238,             0.11258,            0.038537,            0.007096,            0.007096,            0.007096
                  90,            0.034442,            0.039168,            0.013219,             0.81169,               0.683,              0.7509,             0.36544,            0.034268,             0.10539,             0.02506,            0.007063,            0.007063,            0.007063
                  91,            0.034861,            0.038921,            0.013063,             0.76865,             0.68514,             0.78189,             0.38335,            0.033893,             0.10137,            0.025252,             0.00703,             0.00703,             0.00703
                  92,            0.034012,            0.038745,            0.011983,             0.77596,             0.68498,             0.77329,             0.38764,            0.033398,            0.099876,            0.025361,            0.006997,            0.006997,            0.006997
                  93,            0.033726,            0.039113,            0.012392,             0.78296,             0.71183,             0.78731,             0.39377,            0.033176,             0.10027,            0.022543,            0.006964,            0.006964,            0.006964
                  94,            0.033543,            0.039012,            0.011517,             0.78118,             0.72405,             0.80612,             0.40927,            0.032977,             0.10225,            0.022192,            0.006931,            0.006931,            0.006931
                  95,             0.03426,            0.039093,            0.012755,              0.8563,             0.66945,              0.7829,             0.39757,            0.033757,             0.10433,            0.021704,            0.006898,            0.006898,            0.006898
                  96,            0.034462,            0.039331,            0.012188,             0.81621,              0.6147,             0.67649,             0.35445,            0.034245,              0.1076,             0.02096,            0.006865,            0.006865,            0.006865
                  97,            0.033968,            0.038693,            0.012335,             0.80026,             0.64719,             0.70184,              0.3487,            0.033431,             0.10589,            0.020756,            0.006832,            0.006832,            0.006832
                  98,            0.033754,             0.03865,            0.010439,             0.82286,             0.69226,             0.76739,             0.39429,             0.03316,              0.1013,            0.017117,            0.006799,            0.006799,            0.006799
                  99,            0.034334,            0.038578,            0.011727,             0.82177,             0.72625,             0.84868,             0.42653,            0.033508,            0.098468,            0.012766,            0.006766,            0.006766,            0.006766
                 100,             0.03409,            0.038584,            0.010744,             0.82297,             0.72932,             0.80069,             0.41015,            0.032856,            0.098906,            0.013769,            0.006733,            0.006733,            0.006733
                 101,            0.033054,            0.038608,            0.010438,             0.82511,             0.70195,             0.77524,             0.37501,            0.033267,             0.10019,            0.018174,              0.0067,              0.0067,              0.0067
                 102,            0.033277,            0.037856,            0.010739,             0.86882,             0.72327,             0.82076,             0.41129,            0.032564,            0.097714,            0.015394,            0.006667,            0.006667,            0.006667
                 103,            0.033881,            0.038231,            0.010139,             0.88675,             0.75848,              0.8195,             0.41589,            0.032971,            0.097198,            0.011892,            0.006634,            0.006634,            0.006634
                 104,            0.033328,            0.038855,           0.0099253,             0.87032,             0.77757,             0.80879,              0.4161,            0.032433,            0.096302,            0.011427,            0.006601,            0.006601,            0.006601
                 105,            0.033455,            0.038108,           0.0096554,             0.80755,             0.78167,             0.78311,             0.41918,            0.032813,             0.09777,            0.012765,            0.006568,            0.006568,            0.006568
                 106,            0.033263,            0.038551,           0.0095024,             0.81359,             0.76485,             0.79172,             0.43736,            0.032447,            0.097281,            0.013272,            0.006535,            0.006535,            0.006535
                 107,            0.033411,            0.038592,           0.0089073,             0.83359,             0.77489,             0.84569,             0.43482,            0.032452,            0.096887,            0.014561,            0.006502,            0.006502,            0.006502
                 108,            0.032438,            0.038302,           0.0089996,             0.84025,             0.78371,             0.84181,             0.42823,            0.032684,            0.097221,            0.014808,            0.006469,            0.006469,            0.006469
                 109,            0.033746,            0.038655,           0.0092231,             0.83025,             0.77288,             0.82338,             0.43422,            0.032373,            0.096588,            0.015548,            0.006436,            0.006436,            0.006436
                 110,            0.032868,            0.037703,           0.0084139,             0.82121,             0.73977,             0.81175,             0.43293,            0.031937,            0.095898,            0.015429,            0.006403,            0.006403,            0.006403
                 111,            0.033146,            0.038113,           0.0086463,             0.86286,             0.79524,             0.83152,             0.42008,            0.032587,            0.096167,            0.013424,             0.00637,             0.00637,             0.00637
                 112,            0.033167,             0.03839,           0.0084073,             0.88119,             0.78955,              0.8375,             0.42626,            0.032157,            0.096313,            0.013501,            0.006337,            0.006337,            0.006337
                 113,            0.033116,            0.038193,           0.0086128,             0.88868,             0.77196,             0.84693,             0.42535,            0.032486,            0.096415,            0.014592,            0.006304,            0.006304,            0.006304
                 114,            0.032582,            0.037527,           0.0078368,             0.89642,             0.75778,             0.84715,             0.43487,            0.031528,            0.095558,            0.015821,            0.006271,            0.006271,            0.006271
                 115,            0.033046,            0.038122,           0.0083717,             0.86397,             0.76649,             0.84622,             0.40658,            0.032744,            0.096171,            0.014695,            0.006238,            0.006238,            0.006238
                 116,            0.033189,            0.037734,           0.0077996,             0.82956,              0.7749,             0.82432,             0.42374,            0.031711,            0.095437,            0.013911,            0.006205,            0.006205,            0.006205
                 117,            0.032811,            0.038395,           0.0080713,             0.86292,             0.80157,             0.85016,              0.4384,             0.03237,            0.095579,            0.012418,            0.006172,            0.006172,            0.006172
                 118,            0.032492,            0.037949,           0.0076415,             0.86658,             0.80934,             0.85813,             0.44551,            0.031785,            0.095023,            0.011735,            0.006139,            0.006139,            0.006139
                 119,            0.032454,            0.037433,           0.0078811,             0.87389,              0.7822,             0.84904,             0.45377,            0.031992,            0.095725,            0.010659,            0.006106,            0.006106,            0.006106
                 120,             0.03254,            0.037674,            0.007576,             0.88208,             0.79813,             0.85892,             0.48716,            0.031584,            0.094885,           0.0091391,            0.006073,            0.006073,            0.006073
                 121,            0.032617,             0.03776,           0.0077129,             0.89268,             0.83856,             0.88595,             0.45637,            0.032169,            0.095951,            0.010417,             0.00604,             0.00604,             0.00604
                 122,            0.032534,            0.037966,           0.0076158,             0.92001,             0.85006,             0.88788,             0.45978,             0.03188,            0.096231,            0.010694,            0.006007,            0.006007,            0.006007
                 123,            0.033622,            0.037674,           0.0078909,             0.89509,             0.82813,             0.87889,             0.45128,            0.032261,            0.095774,             0.01116,            0.005974,            0.005974,            0.005974
                 124,            0.032715,            0.038279,           0.0077184,             0.87785,             0.82074,             0.85477,             0.44889,            0.031769,            0.095223,            0.012129,            0.005941,            0.005941,            0.005941
                 125,            0.032753,            0.037521,           0.0074278,             0.88682,             0.81078,             0.85084,             0.44799,            0.031717,            0.095809,            0.010065,            0.005908,            0.005908,            0.005908
                 126,            0.032635,            0.037555,           0.0074975,             0.93609,             0.85084,             0.88811,             0.46063,             0.03182,             0.09554,           0.0090089,            0.005875,            0.005875,            0.005875
                 127,            0.033334,            0.037712,           0.0079246,             0.92427,             0.83313,             0.88095,             0.47783,            0.031927,            0.094202,           0.0091928,            0.005842,            0.005842,            0.005842
                 128,            0.032241,            0.036903,           0.0072707,             0.88746,             0.80197,             0.84599,             0.44968,            0.031521,            0.095036,              0.0108,            0.005809,            0.005809,            0.005809
                 129,            0.032952,            0.037966,           0.0077799,             0.89322,             0.82654,             0.89027,             0.43901,            0.032376,            0.095075,            0.010127,            0.005776,            0.005776,            0.005776
                 130,            0.032723,            0.037692,           0.0074306,             0.89287,             0.82933,             0.86851,             0.44671,            0.031508,            0.094772,           0.0091721,            0.005743,            0.005743,            0.005743
                 131,            0.033575,            0.037729,           0.0076423,             0.85381,             0.79861,             0.84333,             0.46412,            0.031971,            0.094859,           0.0083868,             0.00571,             0.00571,             0.00571
